Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kazakhstan,KAZ,0.9 lacs,1 lacs,1.11 lacs,7.54 lacs,10.98 lacs,12.96 lacs,13.01 lacs,13.13 lacs,13.46 lacs,12.75 lacs,10.43 lacs,9.33 lacs,8.78 lacs,8.4 lacs,8.13 lacs,7.79 lacs,7.26 lacs,6.63 lacs,6.55 lacs,5.77 lacs,5.39 lacs,5.29 lacs,5.2 lacs,5.06 lacs,4.93 lacs,4.96 lacs,4.9 lacs,4.85 lacs,4.8 lacs,4.89 lacs,4.9 lacs
Kenya,KEN,3.12 lacs,3.12 lacs,3.1 lacs,3.08 lacs,3.06 lacs,3.05 lacs,3.06 lacs,3.03 lacs,3.02 lacs,3.02 lacs,2.99 lacs,3 lacs,2.97 lacs,2.94 lacs,2.92 lacs,2.91 lacs,2.89 lacs,2.92 lacs,2.88 lacs,2.84 lacs,2.84 lacs,2.83 lacs,2.81 lacs,2.8 lacs,2.78 lacs,2.76 lacs,3.51 lacs,4.25 lacs,5.01 lacs,5.73 lacs,5.74 lacs
Kyrgyz Republic,KGZ,1 lacs,1.1 lacs,3.4 lacs,4.7 lacs,5.6 lacs,7.3 lacs,7.5 lacs,8.9 lacs,8.4 lacs,7.54 lacs,7.84 lacs,12.55 lacs,9.92 lacs,8.53 lacs,8.11 lacs,8.27 lacs,8.1 lacs,8.22 lacs,8.41 lacs,8.64 lacs,8.53 lacs,8.43 lacs,8.33 lacs,8.05 lacs,7.56 lacs,7.21 lacs,6.89 lacs,6.89 lacs,6.92 lacs,8.71 lacs,9.1 lacs
Cambodia,KHM,0.73 lacs,0.75 lacs,0.8 lacs,1.33 lacs,0.78 lacs,0.84 lacs,0.91 lacs,0.94 lacs,0.9 lacs,0.97 lacs,1.03 lacs,1.1 lacs,1.11 lacs,1.13 lacs,1.13 lacs,1.21 lacs,1.26 lacs,0.82 lacs,0.58 lacs,0.77 lacs,0.58 lacs,0.51 lacs,0.44 lacs,0.69 lacs,0.39 lacs,0.72 lacs,0.14 lacs,0.14 lacs,0.15 lacs,0.33 lacs,0.61 lacs
"Korea, Rep.",KOR,2.41 lacs,2.51 lacs,2.88 lacs,2.48 lacs,2.06 lacs,2.05 lacs,2.61 lacs,6.96 lacs,6.34 lacs,4.06 lacs,3.7 lacs,3.05 lacs,3.35 lacs,3.42 lacs,3.48 lacs,3.25 lacs,3.01 lacs,2.96 lacs,3.36 lacs,3.32 lacs,2.99 lacs,2.81 lacs,2.75 lacs,3.08 lacs,3.55 lacs,3.65 lacs,3.65 lacs,3.82 lacs,3.75 lacs,3.93 lacs,3.53 lacs
Kuwait,KWT,0.88 lacs,0.81 lacs,0.8 lacs,0.7 lacs,0.7 lacs,0.7 lacs,0.7 lacs,0.7 lacs,0.7 lacs,0.8 lacs,0.8 lacs,1.1 lacs,1.3 lacs,1.7 lacs,1.5 lacs,1.3 lacs,1.5 lacs,1.75 lacs,1.64 lacs,1.82 lacs,2.04 lacs,2.32 lacs,2.62 lacs,2.9 lacs,2.2 lacs,2.16 lacs,2.2 lacs,2.16 lacs,2.17 lacs,3.54 lacs,3.71 lacs
Latin America & Caribbean (excluding high income),LAC,5.84 lacs,5.9 lacs,5.96 lacs,6.35 lacs,7.6 lacs,7.82 lacs,7.67 lacs,8.1 lacs,8.79 lacs,8.7 lacs,8.39 lacs,8.49 lacs,8.33 lacs,7.89 lacs,7.65 lacs,7.09 lacs,6.71 lacs,6.36 lacs,7.37 lacs,6.7 lacs,6.41 lacs,6.38 lacs,6.29 lacs,6.08 lacs,6.66 lacs,7.89 lacs,8.18 lacs,8.05 lacs,8.09 lacs,10.16 lacs,10.12 lacs
Lao PDR,LAO,2.53 lacs,2.51 lacs,2.55 lacs,2.47 lacs,2.6 lacs,2.49 lacs,2.38 lacs,2.42 lacs,2.11 lacs,2.06 lacs,1.94 lacs,1.8 lacs,1.66 lacs,1.51 lacs,1.35 lacs,1.19 lacs,1.1 lacs,0.97 lacs,0.85 lacs,0.71 lacs,0.73 lacs,0.74 lacs,0.75 lacs,0.76 lacs,0.78 lacs,0.79 lacs,0.81 lacs,0.83 lacs,0.85 lacs,1.03 lacs,1.26 lacs
Lebanon,LBN,8.37 lacs,8.36 lacs,8.44 lacs,8.49 lacs,8.52 lacs,8.49 lacs,8.62 lacs,8.49 lacs,8.44 lacs,8.31 lacs,8.19 lacs,8.09 lacs,7.99 lacs,7.85 lacs,8.28 lacs,8.68 lacs,8.98 lacs,7.67 lacs,6.35 lacs,6.84 lacs,7.39 lacs,7.85 lacs,8.31 lacs,8.81 lacs,9.32 lacs,9.78 lacs,10.27 lacs,10.8 lacs,11.35 lacs,13.3 lacs,14.49 lacs
Liberia,LBR,2.23 lacs,2.2 lacs,2.17 lacs,2.15 lacs,2.09 lacs,2.05 lacs,2.05 lacs,2.05 lacs,2.08 lacs,2.08 lacs,2.13 lacs,2.14 lacs,2.18 lacs,2.17 lacs,2.19 lacs,2.2 lacs,2.21 lacs,2.23 lacs,2.25 lacs,2.27 lacs,2.22 lacs,2.17 lacs,2.12 lacs,2.08 lacs,2.08 lacs,3.08 lacs,3.05 lacs,3.03 lacs,3.02 lacs,3.98 lacs,4.09 lacs
Libya,LBY,19.85 lacs,20.02 lacs,20 lacs,19.91 lacs,20.03 lacs,19.83 lacs,19.83 lacs,19.79 lacs,19.75 lacs,19.67 lacs,19.7 lacs,19.65 lacs,19.46 lacs,19.51 lacs,19.39 lacs,19.41 lacs,19.38 lacs,19.38 lacs,19.37 lacs,19.27 lacs,19.39 lacs,19.03 lacs,19.45 lacs,19.46 lacs,19.53 lacs,19.53 lacs,19.37 lacs,19.45 lacs,19.66 lacs,20.07 lacs,19.58 lacs
St. Lucia,LCA,16.91 lacs,16.73 lacs,16.8 lacs,17 lacs,15.83 lacs,16.33 lacs,20.47 lacs,21.6 lacs,18.09 lacs,16.49 lacs,18.52 lacs,20.39 lacs,22.18 lacs,20.97 lacs,18.7 lacs,16 lacs,14 lacs,12.72 lacs,15.37 lacs,17.11 lacs,18.86 lacs,19.06 lacs,22.21 lacs,21.3 lacs,20.56 lacs,19.65 lacs,18.86 lacs,19.08 lacs,15.32 lacs,16.89 lacs,16.91 lacs
Latin America & Caribbean,LCN,6.12 lacs,6.08 lacs,6.09 lacs,6.55 lacs,7.72 lacs,8.07 lacs,7.89 lacs,8.26 lacs,9.14 lacs,9.01 lacs,8.7 lacs,8.94 lacs,8.81 lacs,8.31 lacs,7.86 lacs,7.24 lacs,6.8 lacs,6.45 lacs,7.44 lacs,6.8 lacs,6.48 lacs,6.41 lacs,6.36 lacs,6.15 lacs,6.63 lacs,7.72 lacs,7.99 lacs,7.87 lacs,7.93 lacs,10.06 lacs,9.96 lacs
Least developed countries: UN classification,LDC,3.85 lacs,3.9 lacs,3.92 lacs,3.94 lacs,3.95 lacs,3.96 lacs,4 lacs,4.05 lacs,4.12 lacs,4.18 lacs,4.24 lacs,4.33 lacs,4.45 lacs,4.42 lacs,4.41 lacs,4.31 lacs,4.4 lacs,4.41 lacs,4.48 lacs,4.51 lacs,4.51 lacs,4.51 lacs,4.49 lacs,4.46 lacs,4.52 lacs,4.55 lacs,4.59 lacs,4.55 lacs,4.55 lacs,5.32 lacs,5.55 lacs
Low income,LIC,4.75 lacs,4.82 lacs,4.87 lacs,4.9 lacs,4.91 lacs,4.92 lacs,4.94 lacs,5 lacs,5.11 lacs,5.2 lacs,5.25 lacs,5.28 lacs,5.27 lacs,5.16 lacs,5.08 lacs,5.04 lacs,5.05 lacs,5.06 lacs,4.99 lacs,5.17 lacs,5.09 lacs,5.02 lacs,4.92 lacs,4.94 lacs,5.04 lacs,5.07 lacs,5.09 lacs,5.09 lacs,5.11 lacs,5.83 lacs,6.06 lacs
Sri Lanka,LKA,14.66 lacs,14.22 lacs,13.82 lacs,13.03 lacs,12.27 lacs,11.35 lacs,10.6 lacs,9.17 lacs,8.88 lacs,7.74 lacs,7.9 lacs,8.76 lacs,8.22 lacs,8.38 lacs,7.67 lacs,6.5 lacs,5.97 lacs,5.22 lacs,5.85 lacs,4.78 lacs,4.12 lacs,3.88 lacs,4.24 lacs,4.19 lacs,4.52 lacs,4.24 lacs,4.05 lacs,4.32 lacs,4.35 lacs,5.88 lacs,5.39 lacs
Lower middle income,LMC,4.75 lacs,4.84 lacs,4.94 lacs,5.16 lacs,5.33 lacs,5.36 lacs,5.35 lacs,5.54 lacs,5.71 lacs,5.63 lacs,5.62 lacs,5.6 lacs,5.61 lacs,5.51 lacs,5.53 lacs,5.35 lacs,5.31 lacs,5.13 lacs,5.18 lacs,5.07 lacs,5.03 lacs,5.02 lacs,5.04 lacs,5.02 lacs,5.17 lacs,5.26 lacs,5.25 lacs,5.21 lacs,5.03 lacs,6.58 lacs,5.86 lacs
Low & middle income,LMY,4.26 lacs,4.33 lacs,4.54 lacs,4.86 lacs,5.14 lacs,5.24 lacs,5.32 lacs,5.54 lacs,5.7 lacs,5.54 lacs,5.67 lacs,5.8 lacs,5.89 lacs,5.73 lacs,5.69 lacs,5.5 lacs,5.36 lacs,5.3 lacs,5.56 lacs,5.37 lacs,5.28 lacs,5.24 lacs,5.24 lacs,5.23 lacs,5.39 lacs,5.55 lacs,5.55 lacs,5.46 lacs,5.49 lacs,6.59 lacs,6.29 lacs
Lesotho,LSO,36.12 lacs,36.39 lacs,36.74 lacs,36.98 lacs,37.34 lacs,37.59 lacs,37.94 lacs,37.16 lacs,36.35 lacs,35.46 lacs,34.63 lacs,33.86 lacs,32.96 lacs,32.18 lacs,31.31 lacs,30.46 lacs,29.62 lacs,28.76 lacs,28.02 lacs,27.08 lacs,26.24 lacs,25.37 lacs,24.58 lacs,24.22 lacs,23.84 lacs,23.48 lacs,23.2 lacs,22.81 lacs,22.44 lacs,24.56 lacs,24.6 lacs
Late-demographic dividend,LTE,3.62 lacs,3.62 lacs,3.88 lacs,4.26 lacs,4.41 lacs,4.59 lacs,4.85 lacs,5.13 lacs,5.36 lacs,5.18 lacs,5.37 lacs,5.55 lacs,5.78 lacs,5.6 lacs,5.53 lacs,5.29 lacs,5.01 lacs,5.05 lacs,5.47 lacs,5.15 lacs,5.06 lacs,5.01 lacs,4.99 lacs,4.92 lacs,5.08 lacs,5.24 lacs,5.23 lacs,5.01 lacs,5.15 lacs,5.89 lacs,5.79 lacs
Lithuania,LTU,1.1 lacs,1.2 lacs,13.8 lacs,13.8 lacs,17.54 lacs,16.4 lacs,14.13 lacs,13.71 lacs,13.39 lacs,15.93 lacs,16.84 lacs,13.01 lacs,12.87 lacs,10.68 lacs,8.32 lacs,5.78 lacs,4.25 lacs,5.83 lacs,13.79 lacs,17.81 lacs,15.39 lacs,13.36 lacs,11.77 lacs,10.7 lacs,9.12 lacs,7.86 lacs,7.07 lacs,6.15 lacs,6.26 lacs,8.49 lacs,7.9 lacs
Luxembourg,LUX,1.48 lacs,2.03 lacs,2.33 lacs,3.48 lacs,2.92 lacs,3.29 lacs,2.53 lacs,2.76 lacs,2.39 lacs,2.35 lacs,1.81 lacs,2.62 lacs,3.68 lacs,5.11 lacs,4.49 lacs,4.73 lacs,4.07 lacs,5.06 lacs,5.12 lacs,4.36 lacs,4.9 lacs,5.14 lacs,5.85 lacs,5.85 lacs,6.67 lacs,6.29 lacs,5.52 lacs,5.59 lacs,5.59 lacs,6.77 lacs,5.23 lacs
Latvia,LVA,2.7 lacs,6.6 lacs,16.7 lacs,18.7 lacs,19 lacs,20.7 lacs,14.9 lacs,14.46 lacs,13.79 lacs,14.21 lacs,13.82 lacs,13.83 lacs,12.06 lacs,11.71 lacs,10.03 lacs,7.03 lacs,6.05 lacs,7.74 lacs,17.51 lacs,19.48 lacs,16.21 lacs,15.05 lacs,11.87 lacs,10.85 lacs,9.87 lacs,9.64 lacs,8.72 lacs,7.41 lacs,6.31 lacs,8.1 lacs,7.6 lacs
"Macao SAR, China",MAC,3.01 lacs,2.2 lacs,2.06 lacs,2.48 lacs,3.58 lacs,4.25 lacs,3.26 lacs,4.61 lacs,6.35 lacs,6.87 lacs,6.39 lacs,6.27 lacs,6 lacs,4.9 lacs,4.16 lacs,3.82 lacs,3.27 lacs,3 lacs,3.58 lacs,2.84 lacs,2.56 lacs,1.97 lacs,1.82 lacs,1.7 lacs,1.81 lacs,1.94 lacs,1.99 lacs,1.83 lacs,1.75 lacs,2.57 lacs,3.01 lacs
Morocco,MAR,12.6 lacs,12.99 lacs,13.1 lacs,12.94 lacs,13.53 lacs,13.17 lacs,13.71 lacs,13.61 lacs,13.94 lacs,13.58 lacs,12.46 lacs,11.59 lacs,11.92 lacs,10.83 lacs,11.01 lacs,9.67 lacs,9.56 lacs,9.57 lacs,8.96 lacs,9.09 lacs,8.91 lacs,8.99 lacs,9.23 lacs,9.7 lacs,9.46 lacs,9.3 lacs,9.24 lacs,9.27 lacs,9.28 lacs,11.45 lacs,11.47 lacs
Moldova,MDA,1.9 lacs,3.7 lacs,3.7 lacs,5.8 lacs,5.3 lacs,7.9 lacs,7.9 lacs,10 lacs,11.14 lacs,8.46 lacs,7.29 lacs,6.8 lacs,7.95 lacs,8.17 lacs,7.29 lacs,7.38 lacs,5.07 lacs,3.98 lacs,6.4 lacs,7.45 lacs,6.68 lacs,5.58 lacs,5.1 lacs,3.73 lacs,4.7 lacs,4.02 lacs,4.1 lacs,4.11 lacs,5.1 lacs,3.82 lacs,3.96 lacs
Madagascar,MDG,4.95 lacs,4.99 lacs,5.08 lacs,5.19 lacs,5.28 lacs,5.37 lacs,5.47 lacs,5.57 lacs,5.68 lacs,5.8 lacs,5.35 lacs,5.35 lacs,5.01 lacs,3.83 lacs,2.62 lacs,2.94 lacs,3.26 lacs,3.58 lacs,3.97 lacs,4.28 lacs,2.44 lacs,0.6 lacs,1 lacs,1.39 lacs,1.79 lacs,1.8 lacs,1.82 lacs,1.84 lacs,1.86 lacs,2.47 lacs,2.59 lacs
Maldives,MDV,0.89 lacs,0.86 lacs,0.84 lacs,0.81 lacs,0.79 lacs,1.03 lacs,1.27 lacs,1.5 lacs,1.74 lacs,1.97 lacs,3 lacs,4.19 lacs,5.39 lacs,6.42 lacs,7.2 lacs,9.16 lacs,9.87 lacs,11.06 lacs,11.7 lacs,11.29 lacs,10.47 lacs,9.47 lacs,8.73 lacs,7.87 lacs,6.93 lacs,6.12 lacs,5.87 lacs,5.62 lacs,5.34 lacs,6.33 lacs,6.08 lacs
Middle East & North Africa,MEA,11.13 lacs,11.52 lacs,12.06 lacs,11.98 lacs,12.2 lacs,11.28 lacs,11.07 lacs,11.23 lacs,11.5 lacs,12.04 lacs,12.1 lacs,12.23 lacs,11.92 lacs,10.76 lacs,10.91 lacs,10.16 lacs,9.63 lacs,9.28 lacs,9.41 lacs,9.55 lacs,10.05 lacs,10.17 lacs,9.92 lacs,10.04 lacs,10.18 lacs,10.24 lacs,10.26 lacs,9.88 lacs,9.15 lacs,10.54 lacs,10.53 lacs
Mexico,MEX,3.15 lacs,3.24 lacs,3.37 lacs,4.44 lacs,7.1 lacs,5.47 lacs,4.24 lacs,3.73 lacs,2.6 lacs,2.65 lacs,2.63 lacs,3 lacs,3.46 lacs,3.94 lacs,3.56 lacs,3.57 lacs,3.63 lacs,3.87 lacs,5.36 lacs,5.3 lacs,5.17 lacs,4.89 lacs,4.91 lacs,4.81 lacs,4.31 lacs,3.86 lacs,3.42 lacs,3.28 lacs,3.48 lacs,4.45 lacs,4.38 lacs
Middle income,MIC,4.22 lacs,4.29 lacs,4.52 lacs,4.86 lacs,5.16 lacs,5.26 lacs,5.35 lacs,5.58 lacs,5.74 lacs,5.57 lacs,5.7 lacs,5.84 lacs,5.94 lacs,5.78 lacs,5.74 lacs,5.54 lacs,5.39 lacs,5.32 lacs,5.6 lacs,5.38 lacs,5.29 lacs,5.26 lacs,5.27 lacs,5.26 lacs,5.42 lacs,5.59 lacs,5.6 lacs,5.5 lacs,5.53 lacs,6.67 lacs,6.32 lacs
North Macedonia,MKD,24.5 lacs,26.3 lacs,27.7 lacs,30 lacs,35.6 lacs,38.8 lacs,36 lacs,34.5 lacs,32.4 lacs,32.2 lacs,30.52 lacs,31.94 lacs,36.69 lacs,37.16 lacs,37.25 lacs,36.03 lacs,34.93 lacs,33.76 lacs,32.18 lacs,32.02 lacs,31.38 lacs,31.02 lacs,29 lacs,28.03 lacs,,23.72 lacs,22.38 lacs,20.74 lacs,17.26 lacs,17.2 lacs,16.2 lacs
Mali,MLI,3.52 lacs,3.54 lacs,3.47 lacs,3.43 lacs,3.4 lacs,3.33 lacs,3.3 lacs,4.05 lacs,4.82 lacs,5.63 lacs,6.3 lacs,7.16 lacs,7.9 lacs,8.75 lacs,9.69 lacs,10.7 lacs,11.71 lacs,10.49 lacs,9.29 lacs,8.07 lacs,6.9 lacs,6.65 lacs,6.35 lacs,6.38 lacs,7.73 lacs,7.57 lacs,7.41 lacs,7.43 lacs,7.44 lacs,7.7 lacs,7.72 lacs
Malta,MLT,6.15 lacs,6.16 lacs,6.18 lacs,6.2 lacs,6.22 lacs,6.24 lacs,6.26 lacs,6.28 lacs,6.3 lacs,6.32 lacs,7.11 lacs,6.9 lacs,7.49 lacs,7.32 lacs,6.92 lacs,6.8 lacs,6.47 lacs,5.98 lacs,6.89 lacs,6.85 lacs,6.38 lacs,6.2 lacs,6.11 lacs,5.72 lacs,5.38 lacs,4.69 lacs,4 lacs,3.66 lacs,3.62 lacs,4.26 lacs,3.5 lacs
Myanmar,MMR,0.75 lacs,0.66 lacs,0.7 lacs,0.69 lacs,0.69 lacs,0.7 lacs,0.71 lacs,0.71 lacs,0.67 lacs,0.65 lacs,0.67 lacs,0.67 lacs,0.66 lacs,0.67 lacs,0.67 lacs,0.68 lacs,0.69 lacs,0.71 lacs,0.71 lacs,0.72 lacs,0.77 lacs,0.75 lacs,0.75 lacs,0.75 lacs,0.77 lacs,1.18 lacs,1.56 lacs,0.87 lacs,0.5 lacs,1.06 lacs,2.17 lacs
Middle East & North Africa (excluding high income),MNA,11.86 lacs,12.14 lacs,12.83 lacs,12.87 lacs,13.33 lacs,12.3 lacs,12.04 lacs,12.23 lacs,12.55 lacs,13.18 lacs,13.24 lacs,13.33 lacs,12.94 lacs,11.6 lacs,11.85 lacs,11.06 lacs,10.59 lacs,10.37 lacs,10.51 lacs,10.78 lacs,11.51 lacs,11.75 lacs,11.48 lacs,11.67 lacs,11.93 lacs,12.05 lacs,12.07 lacs,11.62 lacs,10.77 lacs,12.24 lacs,12.19 lacs
Montenegro,MNE,25.42 lacs,25.59 lacs,25.8 lacs,26.72 lacs,27.55 lacs,27.91 lacs,27.96 lacs,28.12 lacs,27.59 lacs,28.59 lacs,28.74 lacs,29.13 lacs,29.52 lacs,30.01 lacs,30.31 lacs,25.1 lacs,19.4 lacs,17.15 lacs,19.09 lacs,19.65 lacs,19.67 lacs,19.97 lacs,19.5 lacs,18 lacs,17.54 lacs,17.72 lacs,16.07 lacs,15.17 lacs,15.12 lacs,17.9 lacs,18.49 lacs
Mongolia,MNG,6.39 lacs,6.42 lacs,6.27 lacs,6.14 lacs,6.05 lacs,6.16 lacs,6.12 lacs,6.14 lacs,6.16 lacs,6.23 lacs,6.21 lacs,6.2 lacs,6.8 lacs,6.82 lacs,7.04 lacs,7.13 lacs,7.2 lacs,5.56 lacs,5.86 lacs,6.55 lacs,4.77 lacs,3.9 lacs,4.23 lacs,4.8 lacs,4.86 lacs,7.24 lacs,6.36 lacs,5.38 lacs,5.44 lacs,7.01 lacs,7.08 lacs
Mozambique,MOZ,2.71 lacs,2.76 lacs,2.69 lacs,2.71 lacs,2.73 lacs,2.7 lacs,2.7 lacs,2.74 lacs,2.77 lacs,2.85 lacs,2.84 lacs,2.89 lacs,2.94 lacs,2.97 lacs,3.02 lacs,3.04 lacs,3.09 lacs,3.13 lacs,3.17 lacs,3.22 lacs,3.26 lacs,3.3 lacs,3.34 lacs,3.38 lacs,3.43 lacs,3.45 lacs,3.45 lacs,3.46 lacs,3.47 lacs,3.81 lacs,3.98 lacs
Mauritania,MRT,9.93 lacs,9.92 lacs,9.88 lacs,9.93 lacs,9.83 lacs,9.84 lacs,9.89 lacs,9.83 lacs,9.81 lacs,9.85 lacs,9.83 lacs,9.82 lacs,9.79 lacs,9.81 lacs,9.79 lacs,9.73 lacs,9.88 lacs,9.87 lacs,9.87 lacs,9.86 lacs,9.86 lacs,9.86 lacs,9.96 lacs,10.05 lacs,10.14 lacs,10.26 lacs,10.34 lacs,10.39 lacs,10.39 lacs,11.27 lacs,11.46 lacs
Mauritius,MUS,9.63 lacs,9.6 lacs,9.61 lacs,9.6 lacs,9.59 lacs,9.5 lacs,9.43 lacs,9.35 lacs,9.3 lacs,9.18 lacs,9.14 lacs,8.2 lacs,8.25 lacs,8.34 lacs,9.52 lacs,9.04 lacs,8.48 lacs,7.17 lacs,7.26 lacs,7.65 lacs,7.45 lacs,7.47 lacs,7.32 lacs,7.47 lacs,7.41 lacs,6.81 lacs,6.75 lacs,6.43 lacs,6.33 lacs,7.41 lacs,7.41 lacs
Malawi,MWI,5.61 lacs,5.71 lacs,5.64 lacs,5.76 lacs,5.63 lacs,5.7 lacs,5.73 lacs,5.75 lacs,5.77 lacs,5.79 lacs,5.84 lacs,5.81 lacs,5.8 lacs,5.82 lacs,5.84 lacs,5.85 lacs,5.84 lacs,5.86 lacs,5.87 lacs,5.89 lacs,5.92 lacs,5.95 lacs,5.95 lacs,5.9 lacs,5.86 lacs,5.82 lacs,5.76 lacs,5.76 lacs,5.75 lacs,6.7 lacs,7.02 lacs
Malaysia,MYS,3.65 lacs,3.71 lacs,4.11 lacs,3.65 lacs,3.15 lacs,2.52 lacs,2.45 lacs,3.2 lacs,3.43 lacs,3 lacs,3.53 lacs,3.48 lacs,3.61 lacs,3.54 lacs,3.53 lacs,3.31 lacs,3.23 lacs,3.32 lacs,3.66 lacs,3.39 lacs,3.05 lacs,3.1 lacs,3.16 lacs,2.88 lacs,3.1 lacs,3.44 lacs,3.41 lacs,3.3 lacs,3.26 lacs,4.5 lacs,4.61 lacs
North America,NAC,7.16 lacs,7.88 lacs,7.35 lacs,6.55 lacs,6.03 lacs,5.86 lacs,5.41 lacs,4.89 lacs,4.56 lacs,4.28 lacs,4.98 lacs,5.97 lacs,6.16 lacs,5.7 lacs,5.26 lacs,4.8 lacs,4.77 lacs,5.82 lacs,9.15 lacs,9.46 lacs,8.79 lacs,7.98 lacs,7.34 lacs,6.25 lacs,5.46 lacs,5.1 lacs,4.58 lacs,4.11 lacs,3.89 lacs,8.21 lacs,5.7 lacs
Namibia,NAM,19.14 lacs,19.21 lacs,19.38 lacs,19.4 lacs,21.06 lacs,22.77 lacs,24.45 lacs,23.08 lacs,21.69 lacs,20.3 lacs,20.8 lacs,21.23 lacs,21.72 lacs,22.09 lacs,22.22 lacs,22.14 lacs,22.16 lacs,22.19 lacs,22.21 lacs,22.12 lacs,19.46 lacs,16.77 lacs,19.03 lacs,18.52 lacs,20.91 lacs,23.35 lacs,21.64 lacs,19.88 lacs,19.99 lacs,21.45 lacs,21.68 lacs
New Caledonia,NCL,18.07 lacs,18.46 lacs,18.5 lacs,18.38 lacs,18.15 lacs,18.64 lacs,18.26 lacs,18.42 lacs,17.83 lacs,17.48 lacs,17.23 lacs,16.93 lacs,16.5 lacs,16.31 lacs,15.85 lacs,15.22 lacs,14.83 lacs,14.58 lacs,13.97 lacs,13.81 lacs,14.07 lacs,14.35 lacs,14.47 lacs,14.59 lacs,14.73 lacs,14.69 lacs,14.78 lacs,14.85 lacs,14.91 lacs,16.43 lacs,16.57 lacs
Niger,NER,1.35 lacs,1.35 lacs,1.38 lacs,1.38 lacs,1.39 lacs,1.42 lacs,1.43 lacs,1.41 lacs,1.47 lacs,1.49 lacs,1.47 lacs,1.89 lacs,2.32 lacs,2.75 lacs,3.1 lacs,2.65 lacs,2.2 lacs,1.71 lacs,1.27 lacs,0.78 lacs,0.32 lacs,2.18 lacs,1.37 lacs,0.52 lacs,0.53 lacs,0.53 lacs,0.54 lacs,0.55 lacs,0.55 lacs,0.62 lacs,0.75 lacs
Nigeria,NGA,4.12 lacs,4.09 lacs,4.1 lacs,4.09 lacs,4.06 lacs,4.03 lacs,4.01 lacs,4 lacs,3.99 lacs,3.95 lacs,3.93 lacs,3.88 lacs,3.9 lacs,3.88 lacs,3.87 lacs,3.86 lacs,3.84 lacs,3.82 lacs,3.8 lacs,3.78 lacs,3.77 lacs,3.74 lacs,3.7 lacs,4.56 lacs,4.31 lacs,7.06 lacs,8.39 lacs,8.46 lacs,8.53 lacs,9.71 lacs,9.79 lacs
Nicaragua,NIC,6.93 lacs,6.97 lacs,7.05 lacs,7.01 lacs,7 lacs,7.05 lacs,7.17 lacs,7.24 lacs,7.21 lacs,7.35 lacs,7.45 lacs,7.58 lacs,7.6 lacs,6.41 lacs,5.37 lacs,5.31 lacs,4.89 lacs,6.2 lacs,8.16 lacs,7.83 lacs,6.5 lacs,5.21 lacs,5.28 lacs,4.52 lacs,4.7 lacs,3.9 lacs,3.3 lacs,5.2 lacs,5.21 lacs,6.08 lacs,5.96 lacs
Netherlands,NLD,7.28 lacs,5.56 lacs,6.29 lacs,7.16 lacs,7.16 lacs,6.42 lacs,5.51 lacs,4.39 lacs,3.62 lacs,2.73 lacs,2.12 lacs,2.55 lacs,3.59 lacs,4.65 lacs,5.87 lacs,5 lacs,4.15 lacs,3.65 lacs,4.35 lacs,4.99 lacs,4.98 lacs,5.82 lacs,7.24 lacs,7.42 lacs,6.87 lacs,6.01 lacs,4.84 lacs,3.83 lacs,3.38 lacs,3.82 lacs,4.01 lacs
Norway,NOR,5.41 lacs,5.91 lacs,5.97 lacs,5.35 lacs,6.31 lacs,5.04 lacs,4.69 lacs,3.74 lacs,3.25 lacs,3.46 lacs,3.74 lacs,4.02 lacs,4.22 lacs,4.26 lacs,4.38 lacs,3.4 lacs,2.49 lacs,2.55 lacs,3.1 lacs,3.52 lacs,3.21 lacs,3.12 lacs,3.42 lacs,3.48 lacs,4.3 lacs,4.68 lacs,4.16 lacs,3.8 lacs,3.69 lacs,4.42 lacs,4.99 lacs
Nepal,NPL,1.77 lacs,1.71 lacs,1.72 lacs,1.89 lacs,1.74 lacs,1.82 lacs,1.83 lacs,1.78 lacs,1.85 lacs,1.86 lacs,1.75 lacs,1.54 lacs,1.6 lacs,1.55 lacs,1.46 lacs,1.39 lacs,1.33 lacs,1.33 lacs,1.55 lacs,1.82 lacs,2.03 lacs,2.33 lacs,2.55 lacs,2.94 lacs,3.1 lacs,2.87 lacs,3.32 lacs,3.19 lacs,3.1 lacs,4.72 lacs,5.05 lacs
New Zealand,NZL,10.61 lacs,10.67 lacs,9.8 lacs,8.35 lacs,6.46 lacs,6.29 lacs,6.86 lacs,7.72 lacs,7.02 lacs,6.13 lacs,5.43 lacs,5.28 lacs,4.75 lacs,4.01 lacs,3.81 lacs,3.86 lacs,3.66 lacs,4.17 lacs,6.12 lacs,6.56 lacs,6.49 lacs,6.93 lacs,5.84 lacs,5.43 lacs,5.41 lacs,5.15 lacs,4.74 lacs,4.33 lacs,4.11 lacs,4.59 lacs,4.12 lacs
