Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,CAN,10.32 lacs,11.2 lacs,11.38 lacs,10.4 lacs,9.49 lacs,9.62 lacs,9.1 lacs,8.28 lacs,7.58 lacs,6.83 lacs,7.22 lacs,7.66 lacs,7.57 lacs,7.19 lacs,6.76 lacs,6.32 lacs,6.04 lacs,6.14 lacs,8.34 lacs,8.06 lacs,7.51 lacs,7.29 lacs,7.07 lacs,6.91 lacs,6.91 lacs,7 lacs,6.34 lacs,5.83 lacs,5.66 lacs,9.46 lacs,7.51 lacs
Central Europe and the Baltics,CEB,9.25 lacs,10.13 lacs,11.53 lacs,11.37 lacs,10.84 lacs,10.18 lacs,9.16 lacs,8.95 lacs,10.39 lacs,12.43 lacs,13.22 lacs,13.73 lacs,12.93 lacs,12.92 lacs,12.04 lacs,10.09 lacs,7.8 lacs,6.6 lacs,8.49 lacs,9.9 lacs,9.79 lacs,9.98 lacs,10.05 lacs,8.95 lacs,7.82 lacs,6.49 lacs,5.3 lacs,4.32 lacs,3.78 lacs,4.37 lacs,4.5 lacs
Switzerland,CHE,1.78 lacs,2.81 lacs,3.72 lacs,3.88 lacs,3.33 lacs,3.71 lacs,4.2 lacs,3.6 lacs,3.15 lacs,2.67 lacs,2.49 lacs,2.92 lacs,4.12 lacs,4.32 lacs,4.44 lacs,4 lacs,3.65 lacs,3.35 lacs,4.12 lacs,4.8 lacs,4.4 lacs,4.48 lacs,4.75 lacs,4.83 lacs,4.8 lacs,4.92 lacs,4.8 lacs,4.71 lacs,4.39 lacs,4.82 lacs,5.32 lacs
Channel Islands,CHI,5.96 lacs,6.4 lacs,7.38 lacs,7.57 lacs,7.3 lacs,7.23 lacs,7.01 lacs,6.57 lacs,6.24 lacs,5.66 lacs,5.32 lacs,5.59 lacs,5.93 lacs,6.11 lacs,6.05 lacs,5.74 lacs,5.43 lacs,5.5 lacs,6.88 lacs,7.24 lacs,7.47 lacs,8.26 lacs,8.83 lacs,8.61 lacs,8.22 lacs,7.74 lacs,7.14 lacs,6.57 lacs,6.41 lacs,7.69 lacs,7.37 lacs
Chile,CHL,5.23 lacs,4.35 lacs,4.49 lacs,5.87 lacs,4.7 lacs,7.41 lacs,7.14 lacs,7.31 lacs,11.16 lacs,10.49 lacs,10.39 lacs,10.17 lacs,9.77 lacs,10.16 lacs,9.34 lacs,9.02 lacs,8.43 lacs,9.29 lacs,11.31 lacs,8.42 lacs,7.34 lacs,6.66 lacs,6.21 lacs,6.66 lacs,6.51 lacs,6.74 lacs,6.96 lacs,7.23 lacs,7.29 lacs,11.18 lacs,9.13 lacs
China,CHN,2.37 lacs,2.37 lacs,2.69 lacs,2.9 lacs,3 lacs,3.12 lacs,3.23 lacs,3.24 lacs,3.25 lacs,3.26 lacs,3.8 lacs,4.24 lacs,4.58 lacs,4.49 lacs,4.52 lacs,4.43 lacs,4.35 lacs,4.59 lacs,4.72 lacs,4.53 lacs,4.55 lacs,4.57 lacs,4.59 lacs,4.61 lacs,4.63 lacs,4.53 lacs,4.44 lacs,4.28 lacs,4.52 lacs,5 lacs,4.82 lacs
Cote d'Ivoire,CIV,6.61 lacs,6.7 lacs,5.85 lacs,4.99 lacs,4.1 lacs,4.09 lacs,4.11 lacs,4.1 lacs,4.34 lacs,4.58 lacs,4.8 lacs,5.03 lacs,5.26 lacs,5.46 lacs,5.69 lacs,5.92 lacs,6.14 lacs,6.37 lacs,6.59 lacs,6.84 lacs,7.13 lacs,7.22 lacs,4.25 lacs,3.7 lacs,3.15 lacs,2.6 lacs,3.27 lacs,3.29 lacs,3.32 lacs,3.49 lacs,3.47 lacs
Cameroon,CMR,7.5 lacs,7.61 lacs,7.8 lacs,7.81 lacs,7.93 lacs,8.06 lacs,7.93 lacs,7.82 lacs,7.7 lacs,7.59 lacs,7.46 lacs,6.7 lacs,5.93 lacs,5.14 lacs,4.4 lacs,3.73 lacs,3.06 lacs,3.41 lacs,3.77 lacs,4.11 lacs,3.96 lacs,3.82 lacs,3.67 lacs,3.53 lacs,3.55 lacs,3.58 lacs,3.6 lacs,3.62 lacs,3.64 lacs,3.84 lacs,3.87 lacs
"Congo, Dem. Rep.",COD,2.93 lacs,2.94 lacs,2.94 lacs,2.92 lacs,2.9 lacs,2.9 lacs,2.91 lacs,2.9 lacs,2.9 lacs,2.9 lacs,2.89 lacs,2.87 lacs,2.86 lacs,2.85 lacs,2.85 lacs,3.08 lacs,3.31 lacs,3.55 lacs,3.79 lacs,4.01 lacs,4.25 lacs,4.49 lacs,4.48 lacs,4.46 lacs,4.47 lacs,4.48 lacs,4.47 lacs,4.45 lacs,4.45 lacs,5.27 lacs,5.43 lacs
"Congo, Rep.",COG,20.07 lacs,20.05 lacs,20.07 lacs,20.09 lacs,20 lacs,19.98 lacs,20.01 lacs,19.96 lacs,19.99 lacs,19.9 lacs,19.91 lacs,19.88 lacs,19.9 lacs,19.85 lacs,19.8 lacs,19.86 lacs,20.03 lacs,19.98 lacs,20 lacs,20.07 lacs,20.18 lacs,20.18 lacs,20.32 lacs,20.31 lacs,20.45 lacs,20.56 lacs,20.56 lacs,20.61 lacs,20.62 lacs,22.84 lacs,23.01 lacs
Colombia,COL,10.12 lacs,9.44 lacs,7.8 lacs,8.25 lacs,8.72 lacs,11.81 lacs,12.14 lacs,15 lacs,20.06 lacs,20.52 lacs,15.04 lacs,14.48 lacs,13.22 lacs,12.74 lacs,11.06 lacs,11.29 lacs,10.25 lacs,10.49 lacs,11.29 lacs,10.98 lacs,10.11 lacs,9.74 lacs,9.05 lacs,8.57 lacs,8.3 lacs,8.69 lacs,8.87 lacs,9.11 lacs,9.96 lacs,15.04 lacs,14.34 lacs
Comoros,COM,5.11 lacs,4.99 lacs,4.99 lacs,5 lacs,4.91 lacs,4.9 lacs,4.83 lacs,4.81 lacs,4.77 lacs,4.68 lacs,4.69 lacs,4.65 lacs,4.61 lacs,4.57 lacs,4.92 lacs,5.28 lacs,5.64 lacs,5.98 lacs,6.34 lacs,6.69 lacs,7.05 lacs,7.41 lacs,7.76 lacs,8.14 lacs,8.14 lacs,8.1 lacs,8.09 lacs,8.08 lacs,8.08 lacs,9.22 lacs,9.45 lacs
